Manufacturer,Permit Number,DATE,VIN NUMBER,"VEHICLE IS CAPABLE OF OPERATING WITHOUT A DRIVER
(Yes or No)","DRIVER PRESENT
(Yes or No)","DISENGAGEMENT INITIATED BY
(AV System, Test Driver, Remote Operator, or Passenger)","DISENGAGEMENT
LOCATION
(Interstate, Freeway, Highway, Rural Road, Street, or Parking Facility)",DESCRIPTION OF FACTS CAUSING DISENGAGEMENT
AImotive Inc.,AVT003,10.15.2019,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"Lane change maneuver: risk of lane departure, caused by unstable target lane model"
AImotive Inc.,AVT003,11.01.2019,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"Merge maneuver: risk to rear-end other vehicle, caused by wrong lane association"
AImotive Inc.,AVT003,11.04.2019,JTDKN3DU2A5101201,No,Yes,Test Driver,Freeway,"Lane change maneuver: risk of lane departure, caused by unstable target lane model"
AImotive Inc.,AVT003,11.12.2019,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"Merge maneuver: risk to rear-end other vehicle, caused by wrong lane association"
AImotive Inc.,AVT003,11.13.2019,JTDKN3DU2A5101201,No,Yes,Test Driver,Freeway,"Merge maneuver: risk to rear-end other vehicle, caused by wrong lane association"
AImotive Inc.,AVT003,11.20.2019,JTDKN3DU2A5101201,No,Yes,Test Driver,Freeway,"Lane change maneuver to the exit lane: risk of lane departure, caused by unstable trajectory planning"
AImotive Inc.,AVT003,11.20.2019,JTDKN3DU2A5101201,No,Yes,Test Driver,Freeway,"Merge maneuver: risk to rear-end other vehicle, caused by wrong lane association"
AImotive Inc.,AVT003,11.25.2019,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"Lane change maneuver: risk to rear-end other vehicle, caused by wrong lane association"
AImotive Inc.,AVT003,11.26.2019,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"Merge maneuver: risk to rear-end other vehicle, caused by wrong lane association"
Apple Inc.,AVT030,6/7/2019,2T2BGMCA2GC007754,No,Yes,AV System,street,"Controls discrepancy, potential data recording issue"
Apple Inc.,AVT030,6/7/2019,2T2BGMCA2GC007754,No,Yes,AV System,street,"Localization discrepancy, potential hardware performance issue"
Apple Inc.,AVT030,6/17/2019,2T2BGMCA2HC019890,No,Yes,AV System,street,"Localization discrepancy, potential hardware performance issue"
Apple Inc.,AVT030,6/17/2019,2T2BGMCA2HC019890,No,Yes,AV System,highway,"Perception discrepancy, potential software performance issue"
Apple Inc.,AVT030,6/19/2019,2T2BGMCA2HC019890,No,Yes,AV System,street,Motion planning timed out
Apple Inc.,AVT030,6/19/2019,2T2BGMCA2HC019890,No,Yes,AV System,street,Motion planning timed out
Apple Inc.,AVT030,7/1/2019,2T2BGMCA2HC019890,No,Yes,AV System,street,"Perception discrepancy, incorrect detection of object"
Apple Inc.,AVT030,7/10/2019,2T2BGMCA2HC019890,No,Yes,AV System,highway,"Controls discrepancy, hardware diagnostics indicated potential performance issue"
Apple Inc.,AVT030,7/11/2019,2T2BGMCA2HC019890,No,Yes,AV System,street,Motion planning timed out
Apple Inc.,AVT030,7/16/2019,2T2BGMCA2HC019890,No,Yes,AV System,highway,"Controls discrepancy, potential data recording issue"
Apple Inc.,AVT030,7/22/2019,2T2BGMCA8HC017772,No,Yes,AV System,street,"Perception discrepancy, incorrect detection of object"
Apple Inc.,AVT030,7/23/2019,2T2BGMCA2HC019890,No,Yes,AV System,highway,"Planning discrepancy, motion planning timed out"
Apple Inc.,AVT030,7/25/2019,2T2BGMCA2HC019890,No,Yes,AV System,street,"Localization discrepancy, potential hardware performance issue"
Apple Inc.,AVT030,7/26/2019,2T2BGMCA8HC017772,No,Yes,Test Driver,street,Motion planning timed out
Apple Inc.,AVT030,7/29/2019,2T2BGMCA8HC017772,No,Yes,AV System,street,"Perception discrepancy, potential software performance issue"
Apple Inc.,AVT030,8/9/2019,2T2BGMCA6HC019228,No,Yes,AV System,street,"Planning discrepancy, motion planning timed out"
Apple Inc.,AVT030,8/13/2019,2T2BGMCA2HC019890,No,Yes,Test Driver,street,"Perception discrepancy, occluded view due to obstruction(s)"
Apple Inc.,AVT030,8/14/2019,2T2BGMCA2GC008418,No,Yes,AV System,street,"Localization discrepancy, potential hardware performance issue"
Apple Inc.,AVT030,8/14/2019,2T2BGMCA2HC019890,No,Yes,Test Driver,street,"Perception discrepancy, incorrect detection of object"
Apple Inc.,AVT030,8/16/2019,2T2BGMCA2GC007754,No,Yes,AV System,street,"Controls discrepancy, controls diagnostics indicated potential performance issue"
Apple Inc.,AVT030,8/16/2019,2T2BGMCA2GC008418,No,Yes,AV System,highway,"Controls discrepancy, controls diagnostics indicated potential performance issue"
Apple Inc.,AVT030,8/16/2019,2T2BGMCA2GC008418,No,Yes,Test Driver,street,"Perception discrepancy, incorrect detection of object"
Apple Inc.,AVT030,8/19/2019,2T2BGMCA8GC003871,No,Yes,AV System,street,"Perception discrepancy, potential hardware performance issue"
Apple Inc.,AVT030,8/19/2019,2T2BGMCA8GC003871,No,Yes,AV System,street,"Perception discrepancy, potential hardware performance issue"
Apple Inc.,AVT030,8/20/2019,2T2BGMCA2GC008418,No,Yes,Test Driver,street,"Planning discrepancy, motion planning timed out"
Apple Inc.,AVT030,8/26/2019,2T2BGMCA8HC017772,No,Yes,AV System,street,"Localization discrepancy, potential hardware performance issue"
Apple Inc.,AVT030,8/27/2019,2T2BGMCA8HC017772,No,Yes,AV System,street,"Localization discrepancy, potential hardware performance issue"
Apple Inc.,AVT030,8/28/2019,2T2BGMCA8HC017772,No,Yes,AV System,street,"Controls discrepancy, controls diagnostics indicated potential performance issue"
Apple Inc.,AVT030,8/29/2019,2T2BGMCA8HC017772,No,Yes,AV System,street,"Controls discrepancy, controls diagnostics indicated potential performance issue"
Apple Inc.,AVT030,8/29/2019,2T2BGMCA2GC008418,No,Yes,Test Driver,street,"Planning discrepancy, resulting in improper lane-change plan"
Apple Inc.,AVT030,8/30/2019,2T2BGMCA8HC017772,No,Yes,AV System,highway,"Controls discrepancy, hardware diagnostics indicated potential performance issue"
Apple Inc.,AVT030,8/30/2019,2T2BGMCA2GC008418,No,Yes,Test Driver,street,"Perception discrepancy, potential undesirable manuever"
Apple Inc.,AVT030,9/5/2019,2T2BGMCA4HC020118,No,Yes,AV System,street,"Controls discrepancy, potential data recording issue"
Apple Inc.,AVT030,9/11/2019,2T2BGMCA0HC019967,No,Yes,AV System,street,"Controls discrepancy, controls diagnostics indicated potential performance issue"
Apple Inc.,AVT030,9/17/2019,2T2BGMCA3HC020062,No,Yes,AV System,street,"Controls discrepancy, controls diagnostics indicated potential performance issue"
Apple Inc.,AVT030,9/17/2019,2T2BGMCA3HC020062,No,Yes,AV System,highway,"Perception discrepancy, potential hardware performance issue"
Apple Inc.,AVT030,9/18/2019,2T2BGMCA1HC014096,No,Yes,AV System,street,"Controls discrepancy, controls diagnostics indicated potential performance issue"
Apple Inc.,AVT030,9/24/2019,2T2BGMCA1HC014096,No,Yes,AV System,street,"Perception discrepancy, incorrect detection of object"
Apple Inc.,AVT030,9/25/2019,2T2BGMCA4HC020118,No,Yes,AV System,street,"Controls discrepancy, controls diagnostics indicated potential performance issue"
Apple Inc.,AVT030,9/25/2019,2T2BGMCA4HC020118,No,Yes,AV System,street,"Controls discrepancy, controls diagnostics indicated potential performance issue"
Apple Inc.,AVT030,9/27/2019,2T2BGMCA2HC019338,No,Yes,AV System,street,"Controls discrepancy, controls diagnostics indicated potential performance issue"
Apple Inc.,AVT030,9/27/2019,2T2BGMCA4HC020118,No,Yes,AV System,street,"Controls discrepancy, controls diagnostics indicated potential performance issue"
Apple Inc.,AVT030,9/30/2019,2T2BGMCA1HC014096,No,Yes,AV System,street,"Perception discrepancy, potential software performance issue"
Apple Inc.,AVT030,10/3/2019,2T2BGMCA4HC020118,No,Yes,AV System,street,"Controls discrepancy, controls diagnostics indicated potential performance issue"
Apple Inc.,AVT030,10/9/2019,2T2BGMCA1HC014096,No,Yes,AV System,highway,"Controls discrepancy, controls diagnostics indicated potential performance issue"
Apple Inc.,AVT030,10/14/2019,2T2BGMCA4HC016912,No,Yes,AV System,highway,"Controls discrepancy, controls diagnostics indicated potential performance issue"
Apple Inc.,AVT030,10/17/2019,2T2BGMCA0HC019225,No,Yes,AV System,street,"Controls discrepancy, controls diagnostics indicated potential performance issue"
Apple Inc.,AVT030,10/18/2019,2T2BGMCA4HC019826,No,Yes,AV System,street,"Controls discrepancy, controls diagnostics indicated potential performance issue"
Apple Inc.,AVT030,10/18/2019,2T2BGMCA2HC012521,No,Yes,Test Driver,highway,"Planning discrepancy, system authorizing improper trajectory around bad actor"
Apple Inc.,AVT030,10/21/2019,2T2BGMCA2HC012521,No,Yes,AV System,highway,"Controls discrepancy, controls diagnostics indicated potential performance issue"
Apple Inc.,AVT030,10/21/2019,2T2BGMCA2HC012521,No,Yes,AV System,highway,"Controls discrepancy, controls diagnostics indicated potential performance issue"
Apple Inc.,AVT030,10/21/2019,2T2BGMCA2HC012521,No,Yes,AV System,street,"Controls discrepancy, controls diagnostics indicated potential performance issue"
Apple Inc.,AVT030,10/21/2019,2T2BGMCA2HC012521,No,Yes,AV System,highway,"Controls discrepancy, controls diagnostics indicated potential performance issue"
Apple Inc.,AVT030,10/21/2019,2T2BGMCA0HC019967,No,Yes,Test Driver,street,"Planning discrepancy, system authorizing vehicle to operate outside of rate requirements"
Apple Inc.,AVT030,10/22/2019,2T2BGMCA0HC019967,No,Yes,AV System,street,"Planning discrepancy, system authorizing vehicle to operate outside of rate requirements"
Apple Inc.,AVT030,10/30/2019,2T2BGMCA1HC014096,No,Yes,AV System,street,"Planning discrepancy, motion planning timed out"
Apple Inc.,AVT030,10/30/2019,2T2BGMCA1HC014096,No,Yes,AV System,street,"Perception discrepancy, incorrect detection of object"
Apple Inc.,AVT030,10/31/2019,2T2BGMCA1HC014096,No,Yes,AV System,street,"Controls discrepancy, controls diagnostics indicated potential performance issue"
Apple Inc.,AVT030,10/31/2019,2T2BGMCA1HC014096,No,Yes,AV System,street,"Perception discrepancy, incorrect detection of object"
Apple Inc.,AVT030,11/4/2019,2T2BGMCA2HC012521,No,Yes,AV System,street,"Controls discrepancy, controls diagnostics indicated potential performance issue"
Apple Inc.,AVT030,11/7/2019,2T2BGMCA1HC014096,No,Yes,Test Driver,street,"Planning discrepancy, potential undesirable yielding maneuver"
Apple Inc.,AVT030,11/12/2019,2T2BGMCA5HC014389,No,Yes,AV System,street,"Controls discrepancy, controls diagnostics indicated potential performance issue"
Apple Inc.,AVT030,11/18/2019,2T2BGMCA2HC019338,No,Yes,Test Driver,street,"Planning discrepancy, potential undesirable yielding maneuver"
Apple Inc.,AVT030,11/19/2019,2T2BGMCA3HC020062,No,Yes,Test Driver,street,"Controls discrepancy, controls diagnostics indicated potential performance issue"
"Aurora Innovation, Inc.",AVT037,20181218,3LN6L5MU1HR646151,No,Yes,Vehicle Operator,Highway,Planning Discrepancy: AV merged poorly
"Aurora Innovation, Inc.",AVT037,20190108,WVWPR7AU6HW953903,No,Yes,Vehicle Operator,Highway,Planning Module Failure due to mapping issue
"Aurora Innovation, Inc.",AVT037,20190118,3LN6L5MU1HR646151,No,Yes,Vehicle Operator,Street,Perception Discrepancy: Lost track of lead vehicle
"Aurora Innovation, Inc.",AVT037,20190130,3LN6L5MU1HR646151,No,Yes,AV System,Street,Planning Module Failure due to software issue
"Aurora Innovation, Inc.",AVT037,20190215,3LN6L5LUHR650656,No,Yes,Vehicle Operator,Street,Planning Discrepancy: Poor trajectory across lanes
"Aurora Innovation, Inc.",AVT037,20190215,3LN6L5MU6HR643536,No,Yes,Vehicle Operator,Street,Planning Discrepancy: Failure to yield to other actors
"Aurora Innovation, Inc.",AVT037,20190220,3LN6L5LUHR650656,No,Yes,AV System,Freeway,Planning Module Failure due to software issue
"Aurora Innovation, Inc.",AVT037,20190220,3LN6L5LUHR650656,No,Yes,AV System,Highway,Planning Module Failure due to software issue
"Aurora Innovation, Inc.",AVT037,20190220,3LN6L5LUHR650656,No,Yes,AV System,Freeway,Planning Module Failure due to software issue
"Aurora Innovation, Inc.",AVT037,20190220,3LN6L5LUHR650656,No,Yes,AV System,Highway,Planning Module Failure due to software issue
"Aurora Innovation, Inc.",AVT037,20190220,3LN6L5LUHR650656,No,Yes,AV System,Street,Planning Module Failure due to software issue
"Aurora Innovation, Inc.",AVT037,20190220,3LN6L5LUOHR664920,No,Yes,AV System,Street,Planning Module Failure due to software issue
"Aurora Innovation, Inc.",AVT037,20190220,3LN6L5LUOHR664920,No,Yes,AV System,Street,Planning Module Failure due to software issue
"Aurora Innovation, Inc.",AVT037,20190220,3LN6L5LUOHR664920,No,Yes,AV System,Street,Planning Module Failure due to software issue
"Aurora Innovation, Inc.",AVT037,20190220,3LN6L5LUHR650656,No,Yes,AV System,Freeway,Planning Module Failure due to software issue
"Aurora Innovation, Inc.",AVT037,20190220,3LN6L5LUOHR664920,No,Yes,AV System,Street,Planning Module Failure due to software issue
"Aurora Innovation, Inc.",AVT037,20190220,3LN6L5LUOHR664920,No,Yes,AV System,Street,Planning Module Failure due to software issue
"Aurora Innovation, Inc.",AVT037,20190220,3LN6L5MU1HR646151,No,Yes,AV System,Highway,Planning Module Failure due to software issue
"Aurora Innovation, Inc.",AVT037,20190221,3LN6L5LUHR650656,No,Yes,AV System,Street,Planning Module Failure due to software issue
"Aurora Innovation, Inc.",AVT037,20190221,3LN6L5LUHR650656,No,Yes,AV System,Highway,Planning Module Failure due to software issue
"Aurora Innovation, Inc.",AVT037,20190221,3LN6L5LUHR650656,No,Yes,AV System,Street,Planning Module Failure due to software issue
"Aurora Innovation, Inc.",AVT037,20190221,3LN6L5LUHR650656,No,Yes,AV System,Street,Planning Module Failure due to software issue
"Aurora Innovation, Inc.",AVT037,20190221,3LN6L5LUOHR664920,No,Yes,AV System,Street,Planning Module Failure due to software issue
"Aurora Innovation, Inc.",AVT037,20190221,3LN6L5LUOHR664920,No,Yes,AV System,Street,Planning Module Failure due to software issue
"Aurora Innovation, Inc.",AVT037,20190221,3LN6L5LUOHR664920,No,Yes,AV System,Street,Planning Module Failure due to software issue
"Aurora Innovation, Inc.",AVT037,20190221,3LN6L5LUOHR664920,No,Yes,AV System,Street,Planning Module Failure due to software issue
"Aurora Innovation, Inc.",AVT037,20190221,3LN6L5MU6HR643536,No,Yes,AV System,Street,Planning Module Failure due to software issue
"Aurora Innovation, Inc.",AVT037,20190221,3LN6L5MU6HR643536,No,Yes,AV System,Street,Planning Module Failure due to software issue
"Aurora Innovation, Inc.",AVT037,20190221,3LN6L5MU1HR646151,No,Yes,AV System,Freeway,Planning Module Failure due to software issue
"Aurora Innovation, Inc.",AVT037,20190221,3LN6L5MU1HR646151,No,Yes,AV System,Freeway,Planning Module Failure due to software issue
"Aurora Innovation, Inc.",AVT037,20190222,3LN6L5LUOHR664920,No,Yes,AV System,Street,Planning Module Failure due to software issue
"Aurora Innovation, Inc.",AVT037,20190222,3LN6L5LUOHR664920,No,Yes,AV System,Street,Planning Module Failure due to software issue
"Aurora Innovation, Inc.",AVT037,20190222,3LN6L5LUOHR664920,No,Yes,AV System,Street,Planning Module Failure due to software issue
"Aurora Innovation, Inc.",AVT037,20190223,3LN6L5MU1HR646151,No,Yes,AV System,Street,Planning Module Failure due to software issue
"Aurora Innovation, Inc.",AVT037,20190223,3LN6L5MU1HR646151,No,Yes,AV System,Highway,Planning Module Failure due to software issue
"Aurora Innovation, Inc.",AVT037,20190225,3LN6L5MU1HR646151,No,Yes,AV System,Street,Planning Module Failure due to software issue
"Aurora Innovation, Inc.",AVT037,20190225,3LN6L5MU1HR646151,No,Yes,AV System,Highway,Planning Module Failure due to software issue
"Aurora Innovation, Inc.",AVT037,20190225,3LN6L5MU1HR646151,No,Yes,AV System,Highway,Planning Module Failure due to software issue
"Aurora Innovation, Inc.",AVT037,20190225,3LN6L5MU1HR646151,No,Yes,AV System,Street,Planning Module Failure due to software issue
"Aurora Innovation, Inc.",AVT037,20190227,3LN6L5LUHR650656,No,Yes,Vehicle Operator,Street,Unexpected or reckless behavior of other road user
"Aurora Innovation, Inc.",AVT037,20190311,3LN6L5LUOHR664920,No,Yes,Vehicle Operator,Street,Planning Discrepancy: Poor trajectory across lanes
"Aurora Innovation, Inc.",AVT037,20190320,3LN6L5MU1HR646151,No,Yes,Vehicle Operator,Highway,Perception Discrepancy: Lost track of lead vehicle
"Aurora Innovation, Inc.",AVT037,20190416,3LN6L5MU1HR646151,No,Yes,AV System,Street,Planning Module Failure due to software issue
"Aurora Innovation, Inc.",AVT037,20190430,3LN6L5MU1HR646151,No,Yes,AV System,Street,Planning Module Failure due to software issue
"Aurora Innovation, Inc.",AVT037,20190501,3LN6L5LUOHR664920,No,Yes,AV System,Street,Planning Module Failure due to software issue
"Aurora Innovation, Inc.",AVT037,20190501,3LN6L5MU1HR646151,No,Yes,AV System,Street,Planning Module Failure due to software issue
"Aurora Innovation, Inc.",AVT037,20190501,3LN6L5MU1HR646151,No,Yes,AV System,Street,Planning Module Failure due to software issue
"Aurora Innovation, Inc.",AVT037,20190501,3LN6L5MU1HR646151,No,Yes,AV System,Street,Planning Module Failure due to software issue
"Aurora Innovation, Inc.",AVT037,20190509,3LN6L5LUHR650656,No,Yes,Vehicle Operator,Street,Perception Discrepancy: Incorrect assessment of traffic light state
"Aurora Innovation, Inc.",AVT037,20190515,3LN6L5LUOHR664920,No,Yes,AV System,Street,Planning Module Failure due to software issue
"Aurora Innovation, Inc.",AVT037,20190524,3LN6L5MU8HR644610,No,Yes,Vehicle Operator,Street,Perception Discrepancy: Incorrect assessment of traffic light state
"Aurora Innovation, Inc.",AVT037,20190524,3LN6L5MU8HR644610,No,Yes,Vehicle Operator,Street,Mapping Discrepancy: Traffic light error
"Aurora Innovation, Inc.",AVT037,20190528,3LN6L5MU8HR644610,No,Yes,Vehicle Operator,Street,Perception Discrepancy: Incorrect assessment of traffic light state
"Aurora Innovation, Inc.",AVT037,20190529,3LN6L5LUHR650656,No,Yes,AV System,Street,Perception Module Failure due to software issue
"Aurora Innovation, Inc.",AVT037,20190614,3LN6L5LUOHR664920,No,Yes,AV System,Street,Planning Module Failure due to software issue
"Aurora Innovation, Inc.",AVT037,20190618,3LN6L5MU1HR646151,No,Yes,Vehicle Operator,Street,Planning Discrepancy: AV reacted poorly for merging vehicle
"Aurora Innovation, Inc.",AVT037,20190719,3LN6L5LUOHR664920,No,Yes,Vehicle Operator,Street,Planning Discrepancy: AV reacted poorly for merging vehicle
"Aurora Innovation, Inc.",AVT037,20190807,3LN6L5LUOHR664920,No,Yes,AV System,Street,Planning Module Failure due to software issue
"Aurora Innovation, Inc.",AVT037,20190807,3LN6L5MU6HR643536,No,Yes,AV System,Street,Planning Module Failure due to software issue
"Aurora Innovation, Inc.",AVT037,20190808,3LN6L5LUOHR664920,No,Yes,AV System,Street,Planning Module Failure due to software issue
"Aurora Innovation, Inc.",AVT037,20190809,3LN6L5MU6HR643536,No,Yes,Vehicle Operator,Street,Planning Discrepancy: Incorrect behavior while following a vehicle
"Aurora Innovation, Inc.",AVT037,20190809,3LN6L5MU8HR644610,No,Yes,Vehicle Operator,Street,Planning Discrepancy: Incorrect behavior at traffic light
"Aurora Innovation, Inc.",AVT037,20190809,3LN6L5LUOHR664920,No,Yes,Vehicle Operator,Street,Planning Discrepancy: Incorrect behavior while following a vehicle
"Aurora Innovation, Inc.",AVT037,20190809,3LN6L5MU6HR643536,No,Yes,Vehicle Operator,Street,Planning Discrepancy: Incorrect behavior while following a vehicle
"Aurora Innovation, Inc.",AVT037,20190813,3LN6L5MU8HR644610,No,Yes,AV System,Street,Planning Module Failure due to software issue
"Aurora Innovation, Inc.",AVT037,20190813,3LN6L5MU8HR644610,No,Yes,Vehicle Operator,Street,Perception Discrepancy: Incorrect assessment of traffic light state
"Aurora Innovation, Inc.",AVT037,20190816,3LN6L5MU8HR644610,No,Yes,AV System,Freeway,Planning Module Failure due to software issue
"Aurora Innovation, Inc.",AVT037,20190817,3LN6L5LUHR650656,No,Yes,Vehicle Operator,Street,Perception Discrepancy: Incorrect assessment of traffic light state
"Aurora Innovation, Inc.",AVT037,20190904,3LN6L5MU1HR646151,No,Yes,AV System,Street,Planning Module Failure due to software issue
"Aurora Innovation, Inc.",AVT037,20190904,3LN6L5MU6HR643536,No,Yes,Vehicle Operator,Street,Planning Discrepancy: AV reacted poorly for merging vehicle
"Aurora Innovation, Inc.",AVT037,20190905,3LN6L5MU1HR646151,No,Yes,AV System,Street,Planning Module Failure due to software issue
"Aurora Innovation, Inc.",AVT037,20190909,3LN6L5LUHR650656,No,Yes,Vehicle Operator,Street,Planning Discrepancy: Failure to yield to other actors
"Aurora Innovation, Inc.",AVT037,20190912,3LN6L5LUHR650656,No,Yes,Vehicle Operator,Street,Planning Discrepancy: Incorrect behavior at traffic light
"Aurora Innovation, Inc.",AVT037,20190912,3LN6L5LUHR650656,No,Yes,Vehicle Operator,Street,Planning Discrepancy: Incorrect behavior at traffic light
"Aurora Innovation, Inc.",AVT037,20190912,3LN6L5MU6HR643536,No,Yes,Vehicle Operator,Street,Planning Discrepancy: Incorrect behavior at traffic light
"Aurora Innovation, Inc.",AVT037,20190918,3LN6L5MU6HR643536,No,Yes,AV System,Street,Planning Module Failure due to software issue
"Aurora Innovation, Inc.",AVT037,20190924,3LN6L5LUHR650656,No,Yes,Vehicle Operator,Street,Planning Discrepancy: Failure to yield to other actors
"Aurora Innovation, Inc.",AVT037,20190927,3LN6L5LUHR650656,No,Yes,Vehicle Operator,Street,Perception Discrepancy: Incorrect assessment of traffic light state
"Aurora Innovation, Inc.",AVT037,20191002,3LN6L5MU8HR644610,No,Yes,Vehicle Operator,Street,Planning Discrepancy: Poor trajectory across lanes
"Aurora Innovation, Inc.",AVT037,20191003,3LN6L5LUHR650656,No,Yes,Vehicle Operator,Street,Planning Discrepancy: Failure to make unprotected left during light cycle
"Aurora Innovation, Inc.",AVT037,20191004,3LN6L5LUHR650656,No,Yes,Vehicle Operator,Street,Planning Discrepancy: Failure to yield to other actors
"Aurora Innovation, Inc.",AVT037,20191008,3LN6L5LUOHR664920,No,Yes,Vehicle Operator,Freeway,Planning Discrepancy: AV reacted poorly for merging vehicle
"Aurora Innovation, Inc.",AVT037,20191008,3LN6L5LUHR650656,No,Yes,Vehicle Operator,Street,Planning Discrepancy: Poor trajectory across lanes
"Aurora Innovation, Inc.",AVT037,20191009,3LN6L5LUHR650656,No,Yes,Vehicle Operator,Street,Planning Discrepancy: AV reacted poorly for merging vehicle
"Aurora Innovation, Inc.",AVT037,20191010,3LN6L5MU6HR643536,No,Yes,Vehicle Operator,Street,Unexpected or reckless behavior of other road user
"Aurora Innovation, Inc.",AVT037,20191011,3LN6L5MU1HR646151,No,Yes,Vehicle Operator,Street,Mapping Discrepancy: Traffic light error
"Aurora Innovation, Inc.",AVT037,20191011,3LN6L5MU6HR643536,No,Yes,Vehicle Operator,Street,Planning Discrepancy: Failure to make unprotected left during light cycle
"Aurora Innovation, Inc.",AVT037,20191011,3LN6L5LUHR650656,No,Yes,Vehicle Operator,Street,Planning Discrepancy: AV reacts poorly for merging vehicle
"Aurora Innovation, Inc.",AVT037,20191011,3LN6L5MU6HR643536,No,Yes,Vehicle Operator,Street,Perception Discrepancy: Lost track of pedestrian near parked vehicle
"Aurora Innovation, Inc.",AVT037,20191015,3LN6L5LUHR650656,No,Yes,Vehicle Operator,Street,Planning Discrepancy: Failure to yield to other actors
"Aurora Innovation, Inc.",AVT037,20191015,3LN6L5LUHR650656,No,Yes,Vehicle Operator,Street,Planning Discrepancy: Failure to yield to other actors
"Aurora Innovation, Inc.",AVT037,20191015,3LN6L5MU8HR644610,No,Yes,Vehicle Operator,Street,Planning Discrepancy: Failure to make unprotected left during light cycle
"Aurora Innovation, Inc.",AVT037,20191016,3LN6L5LUHR650656,No,Yes,Vehicle Operator,Street,Planning Discrepancy: Incorrect behavior at traffic light
"Aurora Innovation, Inc.",AVT037,20191017,3LN6L5MU8HR644610,No,Yes,Vehicle Operator,Street,Planning Discrepancy: Failure to yield to other actors
"Aurora Innovation, Inc.",AVT037,20191017,3LN6L5MU6HR643536,No,Yes,Vehicle Operator,Street,Planning Discrepancy: Poor trajectory across lanes
